id,nombre,url,zona_corporal,implemento,articularidad,lateralidad,musculo
1,Press Unilateral Doble con mancuerna ( 2 mancuernas),https://youtube.com/shorts/8B8Hd4SGjIM?feature=share,tren superior,mancuerna,biarticular,unilateral doble,hombro
2,Press Unilateral Simple con mancuerna de pie,https://youtu.be/KJYoAl4jF2A,tren superior,mancuerna,biarticular,unilateral simple,hombro
3,Press Unilateral simple para hombro sentado,https://youtu.be/rCUU_4THJa8,tren superior,mancuerna,biarticular,unilateral simple,hombro
4,Press Unilateral simple con Kettlebell,,tren superior,kettlebell,biarticular,unilateral simple,hombro
5,Press Unilateral Doble con Kettlebell ( 2 Kettlebells),,tren superior,kettlebell,biarticular,unilateral doble,hombro
6,Vuelos Frontales con mancuernas  ( 2 mancuernas),https://youtu.be/uQCLSBmMkI8,tren superior,mancuerna,uniarticular,unilateral doble,hombro
7,Vuelos laterales Unilateral Doble con Mancuernas ( 2 mancuernas),https://youtu.be/j1gVTKUjfwo,tren superior,mancuerna,uniarticular,unilateral doble,hombro
8,Vuelos laterales Unialterales Simple con mancuerna,https://youtu.be/c5DO9CJCh3U,tren superior,mancuerna,uniarticular,unilateral simple,hombro
9,Vuelos Posteriores con Mancuernas ( 2 mancuernas),https://youtu.be/48651IUM_sU,tren superior,mancuerna,uniarticular,unilateral doble,hombro
10,Empuje Bilateral con Banda Elastica Cerrada,https://youtube.com/shorts/UctNS-YtCKs?feature=share,tren superior,banda elastica,biarticular,bilateral,hombro
11,Empuje Unilateral Simple con Mazo,https://youtu.be/1PpZBK9k6K4,tren superior,mazo,biarticular,unilateral simple,hombro
12,Mano a mano con Mazo en el aire,https://youtu.be/SV6S6hdF_os,tren superior,mazo,multiarticular,unilateral doble,hombro
13,Isometria en elevacion de brazo con mazo,https://youtu.be/VQkLxjIr69Q,tren superior,mazo,isometrico,unilateral simple,hombro
14,Press bilateral con Kettlebell de pie,https://youtu.be/A3DdGPFxNd0,tren superior,kettlebell,biarticular,bilateral,hombro
